"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 16 13:57:21 GMT 2021","Tue Mar 16 13:57:25 GMT 2021","4554","","Buy horse with credit card - Logging with Metamask","","Buy horse with credit card - Logging with Metamask","Update metamask info","Update metamask info",""
"passed","Tue Mar 16 13:57:50 GMT 2021","Tue Mar 16 13:58:13 GMT 2021","23789","","Buy horse with credit card - Logging with Metamask","","Buy horse with credit card - Logging with Metamask","Process the checkout with banking account and check value","Process the checkout with banking account and check value",""
"passed","Tue Mar 16 13:46:53 GMT 2021","Tue Mar 16 13:46:58 GMT 2021","4551","","Generate stud horse when logging in Metamask","","Generate stud horse when logging in Metamask","Update metamask info","Update metamask info",""
"passed","Tue Mar 16 14:26:45 GMT 2021","Tue Mar 16 14:27:07 GMT 2021","22170","","Deposite to ZED balance by logging in with Metamask","","Deposite to ZED balance by logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Tue Mar 16 13:58:31 GMT 2021","Tue Mar 16 13:58:36 GMT 2021","4897","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Update metamask info","Update metamask info",""
"passed","Tue Mar 16 14:06:25 GMT 2021","Tue Mar 16 14:06:27 GMT 2021","1997","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Validate has a Winning on Winning Page","Validate has a Winning on Winning Page",""
"passed","Tue Mar 16 14:26:26 GMT 2021","Tue Mar 16 14:26:35 GMT 2021","8606","","Give a name to newborn horse when logging in with Metamask","","Give a name to newborn horse when logging in with Metamask","Click on Accept button to close the cookie popup","Click on Accept button to close the cookie popup",""
"passed","Tue Mar 16 14:34:38 GMT 2021","Tue Mar 16 14:35:14 GMT 2021","35504","","Buy horse with credit card - Logging with Metamask","","Buy horse with credit card - Logging with Metamask","Go to Marketplace and select first horse","Go to Marketplace and select first horse",""
"passed","Tue Mar 16 14:42:13 GMT 2021","Tue Mar 16 14:42:34 GMT 2021","21193","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"passed","Tue Mar 16 14:42:34 GMT 2021","Tue Mar 16 14:42:35 GMT 2021","988","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"passed","Tue Mar 16 14:06:46 GMT 2021","Tue Mar 16 14:06:47 GMT 2021","1037","","Buy horse with credit card - Logging with magic link","","Buy horse with credit card - Logging with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"failed","Tue Mar 16 14:09:38 GMT 2021","Tue Mar 16 14:10:08 GMT 2021","30053","","Buy horse with credit card - Logging with magic link","","Buy horse with credit card - Logging with magic link","Verify that our order is processing","Verify that our order is processing",""
"passed","Tue Mar 16 14:02:51 GMT 2021","Tue Mar 16 14:03:06 GMT 2021","14839","","Generate stud horse","","Generate stud horse","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Tue Mar 16 13:46:58 GMT 2021","Tue Mar 16 13:47:12 GMT 2021","14085","","Generate stud horse when logging in Metamask","","Generate stud horse when logging in Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Tue Mar 16 14:27:07 GMT 2021","Tue Mar 16 14:27:15 GMT 2021","8535","","Deposite to ZED balance by logging in with Metamask","","Deposite to ZED balance by logging in with Metamask","Wait until wallet icon is shown then click on Wallet icon","Wait until wallet icon is shown then click on Wallet icon",""
"passed","Tue Mar 16 13:59:00 GMT 2021","Tue Mar 16 13:59:01 GMT 2021","735","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Validate has a race open on Events page","Validate has a race open on Events page",""
"failed","Tue Mar 16 13:59:34 GMT 2021","Tue Mar 16 14:01:34 GMT 2021","120025","","Transfer horse to other wallet address - Logging with Metamask","","Transfer horse to other wallet address - Logging with Metamask","Select horse then click on Transfer button","Select horse then click on Transfer button",""
"passed","Tue Mar 16 14:25:59 GMT 2021","Tue Mar 16 14:26:06 GMT 2021","6955","","Give a name to newborn horse when logging in with Metamask","","Give a name to newborn horse when logging in with Metamask","Update metamask info","Update metamask info",""
"passed","Tue Mar 16 14:11:04 GMT 2021","Tue Mar 16 14:11:41 GMT 2021","36188","","Generate stud horse when logging in with magic link","","Generate stud horse when logging in with magic link","Check that avatar is shown then click on Breeding link","Check that avatar is shown then click on Breeding link",""
"passed","Tue Mar 16 13:45:55 GMT 2021","Tue Mar 16 13:46:05 GMT 2021","9678","","Purchase horse with ETH - Logging with Metamask","","Purchase horse with ETH - Logging with Metamask","Go to Marketplace and select first horse","Go to Marketplace and select first horse",""
"failed","Tue Mar 16 13:47:17 GMT 2021","Tue Mar 16 13:49:17 GMT 2021","120016","","Generate stud horse when logging in Metamask","","Generate stud horse when logging in Metamask","Select mate horse","Select mate horse",""
"passed","Tue Mar 16 13:58:36 GMT 2021","Tue Mar 16 13:58:50 GMT 2021","14839","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Tue Mar 16 14:31:53 GMT 2021","Tue Mar 16 14:32:05 GMT 2021","12019","","Pick horses and add into the entry with fee racing when logged by Magic Link","","Pick horses and add into the entry with fee racing when logged by Magic Link","Open new browser with magic link","Open new browser with magic link",""
"passed","Tue Mar 16 13:46:42 GMT 2021","Tue Mar 16 13:46:50 GMT 2021","7775","","Purchase horse with ETH - Logging with Metamask","","Purchase horse with ETH - Logging with Metamask","Go back to user stable and check if horse is transferred","Go back to user stable and check if horse is transferred",""
"failed","Tue Mar 16 13:58:15 GMT 2021","Tue Mar 16 13:58:27 GMT 2021","11975","","Buy horse with credit card - Logging with Metamask","","Buy horse with credit card - Logging with Metamask","Go back to user stable and check if horse is transferred","Go back to user stable and check if horse is transferred",""
"passed","Tue Mar 16 13:58:13 GMT 2021","Tue Mar 16 13:58:15 GMT 2021","1445","","Buy horse with credit card - Logging with Metamask","","Buy horse with credit card - Logging with Metamask","Check the detail payment","Check the detail payment",""
"passed","Tue Mar 16 14:40:54 GMT 2021","Tue Mar 16 14:41:09 GMT 2021","14607","","Pick horses and add into the free racing when logged by Magic Link","","Pick horses and add into the free racing when logged by Magic Link","Open new browser with magic link","Open new browser with magic link",""
"passed","Tue Mar 16 14:06:30 GMT 2021","Tue Mar 16 14:06:46 GMT 2021","16169","","Buy horse with credit card - Logging with magic link","","Buy horse with credit card - Logging with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"passed","Tue Mar 16 13:59:08 GMT 2021","Tue Mar 16 13:59:12 GMT 2021","4731","","Transfer horse to other wallet address - Logging with Metamask","","Transfer horse to other wallet address - Logging with Metamask","Update metamask info","Update metamask info",""
"passed","Tue Mar 16 14:35:16 GMT 2021","Tue Mar 16 14:35:38 GMT 2021","22075","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"failed","Tue Mar 16 14:06:19 GMT 2021","Tue Mar 16 14:06:20 GMT 2021","1088","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Validate the component displays on Home Page","Validate the component displays on Home Page",""
"passed","Tue Mar 16 14:28:57 GMT 2021","Tue Mar 16 14:29:05 GMT 2021","8146","","Transfer horse to other wallet address - Logging with magic link","","Transfer horse to other wallet address - Logging with magic link","Select horse then click on Transfer button","Select horse then click on Transfer button",""
"failed","Tue Mar 16 13:51:17 GMT 2021","Tue Mar 16 13:53:17 GMT 2021","120005","","Generate stud horse when logging in Metamask","","Generate stud horse when logging in Metamask","Proceed breeding steps","Proceed breeding steps",""
"failed","Tue Mar 16 13:58:56 GMT 2021","Tue Mar 16 13:58:57 GMT 2021","1206","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Validate the component displays on Home Page","Validate the component displays on Home Page",""
"passed","Tue Mar 16 14:05:31 GMT 2021","Tue Mar 16 14:05:32 GMT 2021","1148","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"passed","Tue Mar 16 14:10:36 GMT 2021","Tue Mar 16 14:10:53 GMT 2021","17127","","Generate stud horse when logging in with magic link","","Generate stud horse when logging in with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"passed","Tue Mar 16 14:05:41 GMT 2021","Tue Mar 16 14:06:19 GMT 2021","37456","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Check that the ZED app is loading successfully","Check that the ZED app is loading successfully",""
"failed","Tue Mar 16 13:49:17 GMT 2021","Tue Mar 16 13:51:17 GMT 2021","120005","","Generate stud horse when logging in Metamask","","Generate stud horse when logging in Metamask","Select female horse","Select female horse",""
"passed","Tue Mar 16 14:37:46 GMT 2021","Tue Mar 16 14:37:47 GMT 2021","1051","","Deposite to ZED balance by logging in with magic link","","Deposite to ZED balance by logging in with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"passed","Tue Mar 16 13:45:31 GMT 2021","Tue Mar 16 13:45:36 GMT 2021","4713","","Purchase horse with ETH - Logging with Metamask","","Purchase horse with ETH - Logging with Metamask","Update metamask info","Update metamask info",""
"failed","Tue Mar 16 13:46:09 GMT 2021","Tue Mar 16 13:46:42 GMT 2021","32709","","Purchase horse with ETH - Logging with Metamask","","Purchase horse with ETH - Logging with Metamask","Check the detail payment","Check the detail payment",""
"passed","Tue Mar 16 14:32:05 GMT 2021","Tue Mar 16 14:32:38 GMT 2021","33170","","Pick horses and add into the entry with fee racing when logged by Magic Link","","Pick horses and add into the entry with fee racing when logged by Magic Link","Check that the ZED app is loading successfully","Check that the ZED app is loading successfully",""
"failed","Tue Mar 16 14:11:41 GMT 2021","Tue Mar 16 14:13:41 GMT 2021","120025","","Generate stud horse when logging in with magic link","","Generate stud horse when logging in with magic link","Select mate horse","Select mate horse",""
