"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 24 23:04:46 ICT 2021","Sun Jan 24 23:05:05 ICT 2021","18790","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"failed","Sun Jan 24 23:03:45 ICT 2021","Sun Jan 24 23:04:15 ICT 2021","30007","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Wait until wallet icon is shown then click on Wallet icon","Wait until wallet icon is shown then click on Wallet icon",""
"passed","Sun Jan 24 22:58:33 ICT 2021","Sun Jan 24 22:58:57 ICT 2021","23449","","Withdraw from ETH balance by logging in with Metamask","","Withdraw from ETH balance by logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Sun Jan 24 23:01:45 ICT 2021","Sun Jan 24 23:02:01 ICT 2021","16659","","Deposite to ZED balance by logging in with magic link","","Deposite to ZED balance by logging in with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"passed","Sun Jan 24 23:03:31 ICT 2021","Sun Jan 24 23:03:33 ICT 2021","1867","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"passed","Sun Jan 24 22:53:30 ICT 2021","Sun Jan 24 22:53:32 ICT 2021","2623","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","Apply the discount coupon : ZED-10-PERCENT","Apply the discount coupon : ZED-10-PERCENT",""
"passed","Sun Jan 24 23:05:06 ICT 2021","Sun Jan 24 23:05:19 ICT 2021","12180","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Open new browser with magic link","Open new browser with magic link",""
"passed","Sun Jan 24 22:55:37 ICT 2021","Sun Jan 24 22:55:40 ICT 2021","2549","","Use percent discount voucher to buy horse with card while logging in with Metamask","","Use percent discount voucher to buy horse with card while logging in with Metamask","Apply the discount coupon : ZED-10-PERCENT","Apply the discount coupon : ZED-10-PERCENT",""
"failed","Sun Jan 24 22:59:56 ICT 2021","Sun Jan 24 23:00:26 ICT 2021","30009","","Deposite to ZED balance by logging in with Metamask","","Deposite to ZED balance by logging in with Metamask","Click on Deposit button and check if ETH balance is updated","Click on Deposit button and check if ETH balance is updated",""
"passed","Sun Jan 24 22:53:11 ICT 2021","Sun Jan 24 22:53:24 ICT 2021","12837","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
